index,axis-0,axis-1,axis-2,axis-3,label
95,0.0,2.0,1845.853146423635,956.1957916042082,state1
96,0.0,2.0,1835.3046119300427,908.7273863830434,state1
97,0.0,2.0,1806.2961420726642,866.5332484086745,state1
98,0.0,2.0,1748.279202357907,803.2420414471211,state1
99,0.0,2.0,1595.3254522008199,710.9423646281892,state1
100,0.0,2.0,1487.2029736414995,597.5456188220729,state1
101,0.0,2.0,1350.0720252248007,552.7143472243059,state1
102,0.0,2.0,1049.4387921574225,510.520209249937,state1
103,0.0,2.0,698.7000202454813,565.9000153412961,state1
104,0.0,2.0,580.0290071925688,647.6511576666359,state1
105,0.0,2.0,442.89805877586986,763.6850370961503,state1
106,0.0,2.0,350.59838195693794,887.6303173958589,state1
107,0.0,2.0,274.12150687839437,1095.9638736443053,state1
108,0.0,3.0,213.46743354023909,1380.774304971295,state1
109,0.0,3.0,210.83029991684106,1470.436848166829,state1
110,0.0,3.0,242.47590339761769,1757.8844131172168,state1
111,0.0,3.0,355.87264920373406,1931.9352322614882,state1
112,0.0,3.0,440.26092515247177,2050.606245314401,state2
113,0.0,3.0,582.6661408159669,2171.9143919907115,state1
114,0.0,3.0,746.1684254666462,2229.9313317054684,state1
115,0.0,3.0,904.3964428705295,2272.1254696798374,state1
116,0.0,3.0,959.7762489618887,2295.85967229042,state1
117,0.0,3.0,1081.084395638199,2322.2310085244003,state1
118,0.0,3.0,1381.7176287055775,2264.2140688096433,state1
119,0.0,3.0,1481.9287063947033,2229.9313317054684,state1
120,0.0,3.0,1677.0765945261594,2127.0831203929442,state1
121,0.0,3.0,1737.7306678643147,2082.2518487951775,state1
122,0.0,3.0,1919.6928878787805,1852.8212235595465,state1
123,0.0,3.0,1938.152823242567,1784.2557493511972,state1
124,0.0,3.0,1980.3469612169358,1655.0362018046926,state1
125,0.0,3.0,1985.621228463732,1557.4622577389646,state1
126,0.0,3.0,1988.2583620871299,1473.0739817902268,state1
127,0.0,3.0,1961.8870258531495,1090.6896063975091,state1
128,0.0,3.0,1914.4186206319844,979.9299942147908,state2
129,0.0,3.0,1695.536529889946,790.0563733301309,state1
130,0.0,3.0,1682.3508617729556,734.6765672387718,state1
131,0.0,3.0,1629.6081893049945,708.3052310047912,state1
132,0.0,3.0,1426.5489003033442,581.7228170816846,state1
133,0.0,3.0,1054.7130594042185,534.2544118605196,state1
134,0.0,3.0,893.8479083769373,589.6342179518787,state1
135,0.0,3.0,783.088296194219,621.2798214326555,state1
136,0.0,3.0,722.4342228560638,626.5540886794514,state1
137,0.0,3.0,522.0120674778116,782.1449724599366,state1
138,0.0,3.0,411.25245529509317,929.8244553702278,state1
139,0.0,4.0,239.83876977421966,1169.8036150994508,state1
140,0.0,4.0,226.6531016572294,1470.436848166829,state1
141,0.0,4.0,247.7501706444138,1586.4707275963433,state1
142,0.0,4.0,266.21010600820017,1644.4876673111003,state1
143,0.0,4.0,289.9443086187827,1689.3189389088675,state1
144,0.0,4.0,498.27786486722897,2021.5977754570222,state1
145,0.0,4.0,556.2948045819863,2055.880512561197,state1
146,0.0,4.0,653.8687486477144,2119.17171952275,state1
147,0.0,4.0,690.7886193752871,2127.0831203929442,state1
148,0.0,4.0,735.619890973054,2161.365857497119,state1
149,0.0,4.0,841.1052359089762,2193.0114609778957,state1
150,0.0,4.0,922.8563782343159,2208.834262718284,state1
151,0.0,4.0,1078.447262014801,2253.665534316051,state1
152,0.0,4.0,1123.278533612568,2245.754133445857,state1
153,0.0,4.0,1165.472671586937,2245.754133445857,state1
154,0.0,4.0,1263.046615652665,2229.9313317054684,state1
155,0.0,4.0,1392.2661631991696,2187.7371937310995,state1
156,0.0,4.0,1513.5743098754801,2142.9059221333328,state1
157,0.0,4.0,1561.042715096645,2105.98605140576,state1
158,0.0,4.0,1613.7853875646063,2058.517646184595,state1
159,0.0,4.0,1658.616659162373,2026.8720427038184,state1
160,0.0,4.0,1772.0134049684896,1929.2980986380903,state1
161,0.0,4.0,1803.6590084492661,1887.1039606637214,state1
162,0.0,4.0,1824.7560774364506,1839.6355554425563,state1
163,0.0,4.0,1848.4902800470331,1797.4414174681874,state1
164,0.0,4.0,1861.6759481640233,1734.1502105066343,state1
165,0.0,4.0,1895.958685268198,1713.0531415194496,state1
166,0.0,4.0,1917.0557542553825,1639.213400064304,state1
167,0.0,4.0,1927.6042887489748,1589.1078612197412,state1
168,0.0,4.0,1959.2498922297516,1341.2173006203243,state1
169,0.0,4.0,1946.064224112761,1254.1918910481886,state1
170,0.0,4.0,1938.152823242567,1217.2720203206159,state1
171,0.0,4.0,1911.7814870085865,1119.6980762548878,state1
172,0.0,4.0,1830.0303446832468,924.5501881234317,state1
173,0.0,4.0,1774.6505385918877,871.8075156554706,state1
174,0.0,4.0,1719.2707325005283,813.7905759407134,state1
175,0.0,4.0,1692.899396266548,776.8707052131405,state1
176,0.0,4.0,1518.8485771222763,689.8452956410048,state1
177,0.0,4.0,1471.3801719011112,647.6511576666359,state1
178,0.0,4.0,1416.000365809752,634.4654895496457,state1
179,0.0,4.0,1371.169094211985,618.6426878092574,state1
180,0.0,4.0,1257.7723484058688,584.3599507050825,state1
181,0.0,4.0,1102.1814646253836,544.8029463541119,state1
182,0.0,4.0,1065.2615938978108,550.0772136009078,state1
183,0.0,4.0,738.2570245964521,594.9084851986748,state1
184,0.0,4.0,619.5860115435396,639.7397567964418,state1
185,0.0,4.0,529.9234683480057,721.4908991217814,state1
186,0.0,4.0,382.2439854377146,829.6133776811017,state1
187,0.0,4.0,353.235515580336,890.267451019257,state1
188,0.0,5.0,297.85570948897686,1172.4407487228486,state1
189,0.0,5.0,276.7586405017924,1354.4029687373145,state1
190,0.0,5.0,282.0329077485885,1401.8713739584796,state1
191,0.0,5.0,289.9443086187827,1473.0739817902268,state1
192,0.0,5.0,318.9527784761613,1554.8251241155667,state1
193,0.0,5.0,324.2270457229574,1594.3821284665373,state1
194,0.0,5.0,374.3325845675204,1689.3189389088675,state1
195,0.0,5.0,379.60685181431654,1726.2388096364402,state1
196,0.0,5.0,524.6492011012097,1976.7665038592554,state1
197,0.0,5.0,888.5736411301413,2137.6316548865366,state1
198,0.0,5.0,1012.5189214298497,2156.091590250323,state1
199,0.0,5.0,1104.8185982487817,2161.365857497119,state1
200,0.0,5.0,1173.384072457131,2158.728723873721,state1
201,0.0,5.0,1252.4980811590726,2153.454456626925,state1
202,0.0,5.0,1721.9078661239264,1881.8296934169252,state1
203,0.0,5.0,1837.9417455534408,1649.7619345578964,state1
204,0.0,5.0,1853.764547293829,1583.833593972945,state1
205,0.0,5.0,1877.4987499044116,1557.4622577389646,state1
206,0.0,5.0,1874.8616162810135,1525.816654258188,state1
207,0.0,5.0,1898.595818891596,1362.3143696075085,state1
208,0.0,5.0,1874.8616162810135,1248.9176238013924,state1
209,0.0,5.0,1859.0388145406253,1143.43227886547,state1
210,0.0,5.0,1827.3932110598487,1008.9384640721693,state1
211,0.0,5.0,1811.5704093194604,953.5586579808102,state1
212,0.0,5.0,1777.2876722152855,892.9045846426549,state1
213,0.0,5.0,1748.279202357907,834.8876449278977,state1
214,0.0,5.0,1437.0974347969366,613.3684205624612,state1
215,0.0,5.0,1231.4010121718882,523.7058773669274,state1
216,0.0,5.0,1144.3756025997525,534.2544118605196,state1
217,0.0,5.0,1107.4557318721797,523.7058773669274,state1
218,0.0,5.0,1067.898727521209,523.7058773669274,state1
219,0.0,5.0,804.1853651814034,560.6257480945002,state1
220,0.0,5.0,500.91499849062706,695.119562887801,state1
221,2.0,0.0,432.3495242822776,1805.352818338382,state2
222,2.0,0.0,817.3710332983937,2127.0831203929442,state2
223,2.0,0.0,1012.5189214298497,2164.002991120517,state2
224,2.0,0.0,1062.6244602744127,2171.9143919907115,state2
225,2.0,0.0,1292.0550855100435,2166.6401247439153,state2
226,2.0,0.0,1447.6459692905287,2103.3489177823617,state2
227,2.0,0.0,1595.3254522008199,2047.9691116910026,state2
228,2.0,0.0,1669.1651936559654,1987.3150383528473,state2
229,2.0,0.0,1706.085064383538,1921.3866977678963,state2
230,2.0,0.0,1743.0049351111109,1884.4668270403236,state2
231,2.0,0.0,1764.1020040982953,1847.5469563127504,state2
232,2.0,0.0,1793.110473955674,1831.7241545723623,state2
233,2.0,0.0,1808.9332756960623,1786.8928829745955,state2
234,2.0,0.0,1835.3046119300427,1757.8844131172168,state2
235,2.0,0.0,1843.216012800237,1702.5046070258577,state2
236,2.0,0.0,1888.047284398004,1533.728055128382,state2
237,2.0,0.0,1882.7730171512078,1473.0739817902268,state2
238,2.0,0.0,1874.8616162810135,1386.048572218091,state2
239,2.0,0.0,1874.8616162810135,1306.9345635161494,state2
240,2.0,0.0,1851.1274136704312,1256.8290246715865,state2
241,2.0,0.0,1814.2075429428585,1117.0609426314895,state2
